Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
acer,550 g,MediaTek MT8163,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, Cores: 2","1 GB, 800 MHz",16 GB,"microSD, microSDHC, microSDXC","10.1 in, IPS, 1280 x 800 pixels, 24 bit","6100 mAh, Li-Polymer",Android 5.1 Lollipop,"2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n","2.0, Micro USB",4.0,GPS,https://www.devicespecifications.com/en/price/bb6c3d18,https://www.devicespecifications.com/images/model/bb6c3d18/320/main.jpg,Iconia One 10 B3-A20;
acer,280 g,MediaTek MT8321,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 500 MHz, Cores: 2",1 GB,16 GB,"microSD, microSDHC","7 in, IPS, 1024 x 600 pixels, 24 bit","3380 mAh, Li-Polymer",Android 5.1 Lollipop,"2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n","2.0, Micro USB",4.0,GPS,,https://www.devicespecifications.com/images/model/28dc3b94/320/main.jpg,Iconia Talk 7;
acer,350 g,Intel Atom x7-Z8700,"Intel Cherry Trail, 2400 MHz, Cores: 4","Intel HD Graphics, 600 MHz","2 GB, 1600 MHz","32 GB, 64 GB","microSD, microSDHC, microSDXC","8 in, IPS, 1920 x 1200 pixels, 24 bit","4550 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n, n 5GHz, Dual band, Wi-Fi Direct","2.0, Micro USB",4.0,,https://www.devicespecifications.com/en/price/0d7d3675,https://www.devicespecifications.com/images/model/0d7d3675/320/main.jpg,Predator 8;
acer,142 g,Qualcomm Snapdragon 210 MSM8909,"ARM Cortex-A7, 1100 MHz, Cores: 4","Qualcomm Adreno 304, 400 MHz","1 GB, 533 MHz",8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 854 pixels, 24 bit","2000 mAh, Li-Polymer",Android 5.0 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/8fcd3649,https://www.devicespecifications.com/images/model/8fcd3649/320/main.jpg,Liquid Z330;
acer,142 g,Qualcomm Snapdragon 210 MSM8209,"ARM Cortex-A7, 1100 MHz, Cores: 4",Qualcomm Adreno 304,1 GB,8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 854 pixels, 24 bit","2000 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/47cd3648/320/main.jpg,Liquid Z320;
acer,165 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","3 GB, 666 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","4000 mAh, Li-Polymer",Android 5.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",,https://www.devicespecifications.com/images/model/d9fe363c/320/main.jpg,Liquid Z630S;
acer,165 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","1 GB, 2 GB, 640 MHz","8 GB, 16 GB","microSD, microSDHC, microSDXC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","4000 mAh, Li-Ion",Android 5.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/cb07363b/320/main.jpg,Liquid Z630;
acer,145 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","3 GB, 666 MHz",32 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2420 mAh, Li-Ion",Android 5.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/c9a73639/320/main.jpg,Liquid Z530S;
acer,145 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","1 GB, 2 GB, 640 MHz","8 GB, 16 GB","microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2420 mAh, Li-Ion",Android 5.1.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",https://www.devicespecifications.com/en/price/ce143638,https://www.devicespecifications.com/images/model/ce143638/320/main.jpg,Liquid Z530;
acer,144 g,Qualcomm Snapdragon 210 MSM8909,"ARM Cortex-A7, 1100 MHz, Cores: 4","Qualcomm Adreno 304, 400 MHz","1 GB, 533 MHz",8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 854 pixels, 24 bit","2000 mAh, Li-Ion",Microsoft Windows 10,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/75383637/320/main.jpg,Liquid M330;
